"","Transect","NONE_n","PGRASS_n","NONE_min_height_cm","PGRASS_min_height_cm","NONE_max_height_cm","PGRASS_max_height_cm","NONE_mean_height_cm","PGRASS_mean_height_cm","mean_elev_m"
"1","JORN002",32,NA,0,NA,0,NA,0,NA,1306.6
"2","JORN003",31,NA,0,NA,0,NA,0,NA,1307.6
"3","JORN005",33,NA,0,NA,0,NA,0,NA,1304.3
"4","JORN006",33,NA,0,NA,0,NA,0,NA,1301.6
"5","JORN007",40,NA,0,NA,0,NA,0,NA,1293.9
"6","JORN008",36,1,0,35,0,35,0,35,1294
"7","JORN009",29,NA,0,NA,70,NA,2,NA,1293.7
"8","JORN010",31,NA,0,NA,0,NA,0,NA,1296.9
"9","JORN011",27,NA,0,NA,0,NA,0,NA,1301.5
"10","JORN012",35,NA,0,NA,0,NA,0,NA,1295.9
"11","JORN014",36,NA,0,NA,0,NA,0,NA,1292.5
"12","JORN016",32,4,0,40,0,50,0,45,1298.2
"13","JORN018",33,NA,0,NA,0,NA,0,NA,1299.7
"14","JORN021",39,NA,0,NA,0,NA,0,NA,1303.5
"15","JORN022",33,10,0,2,0,35,0,22,1300.6
"16","JORN025",30,2,0,5,0,15,0,10,1296.5
"17","JORN027",42,NA,0,NA,0,NA,0,NA,1298.6
"18","JORN028",43,1,0,3,0,3,0,3,1308.2
"19","JORN030",40,2,0,4,0,10,0,7,1308.6
"20","JORN032",42,1,0,15,0,15,0,15,1301.1
"21","JORN034",44,1,0,10,0,10,0,10,1303.5
"22","JORN036",28,NA,0,NA,0,NA,0,NA,1301.8
"23","JORN038",38,NA,0,NA,0,NA,0,NA,1300.2
