"","Transect","NONE_n","PRGL_n","PGRASS_n","NONE_min_height_cm","PRGL_min_height_cm","PGRASS_min_height_cm","NONE_max_height_cm","PRGL_max_height_cm","PGRASS_max_height_cm","NONE_mean_height_cm","PRGL_mean_height_cm","PGRASS_mean_height_cm","mean_elev_m"
"1","JORN002",32,14,NA,"0","20",NA,"0","85",NA,NA,NA,NA,1306.6
"2","JORN003",31,18,NA,"0","100",NA,"0","95",NA,NA,NA,NA,1307.6
"3","JORN005",33,14,NA,"0","105",NA,"0","85",NA,NA,NA,NA,1304.3
"4","JORN006",33,16,NA,"0","100",NA,"0","85",NA,NA,NA,NA,1301.6
"5","JORN007",40,6,NA,"0","15",NA,"0","55",NA,NA,NA,NA,1293.9
"6","JORN008",36,10,1,"0","25","35","0","75","35",NA,NA,NA,1294
"7","JORN009",29,21,NA,"0","40",NA,"70","75",NA,NA,NA,NA,1293.7
"8","JORN010",31,19,NA,"0","25",NA,"0","85",NA,NA,NA,NA,1296.9
"9","JORN011",27,20,NA,"0","30",NA,"0","90",NA,NA,NA,NA,1301.5
"10","JORN012",35,10,NA,"0","100",NA,"0","85",NA,NA,NA,NA,1295.9
"11","JORN014",36,10,NA,"0","120",NA,"0","95",NA,NA,NA,NA,1292.5
"12","JORN016",32,13,4,"0","100","40","0","80","50",NA,NA,NA,1298.2
"13","JORN018",33,14,NA,"0","40",NA,"0","90",NA,NA,NA,NA,1299.7
"14","JORN019",NA,16,NA,NA,"100",NA,NA,"95",NA,NA,NA,NA,1304.3
"15","JORN021",39,8,NA,"0","100",NA,"0","70",NA,NA,NA,NA,1303.5
"16","JORN022",33,5,10,"0","110","2","0","95","35",NA,NA,NA,1300.6
"17","JORN025",30,15,2,"0","100","15","0","90","5",NA,NA,NA,1296.5
"18","JORN027",42,8,NA,"0","10",NA,"0","85",NA,NA,NA,NA,1298.6
"19","JORN028",43,4,1,"0","50","3","0","80","3",NA,NA,NA,1308.2
"20","JORN030",40,8,2,"0","100","10","0","70","4",NA,NA,NA,1308.6
"21","JORN032",42,3,1,"0","135","15","0","80","15",NA,NA,NA,1301.1
"22","JORN034",44,4,1,"0","50","10","0","60","10",NA,NA,NA,1303.5
"23","JORN035",NA,2,6,NA,"75","1",NA,"75","5",NA,NA,NA,1299.9
"24","JORN036",28,22,NA,"0","25",NA,"0","65",NA,NA,NA,NA,1301.8
"25","JORN037",NA,6,6,NA,"25","10",NA,"90","5",NA,NA,NA,1306.5
"26","JORN038",38,12,NA,"0","100",NA,"0","70",NA,NA,NA,NA,1300.2
"27","JORN102",NA,3,9,NA,"100","10",NA,"105","35",NA,NA,NA,1291
"28","JORN104",NA,4,1,NA,"100","40",NA,"100","40",NA,NA,NA,1292.7
"29","JORN105",NA,8,2,NA,"150","15",NA,"75","2",NA,NA,NA,1307.7
"30","JORN109",NA,10,17,NA,"130","10",NA,"90","30",NA,NA,NA,1299.6
"31","JORN111",NA,12,1,NA,"100","55",NA,"80","55",NA,NA,NA,1296.3
"32","JORN114",NA,8,2,NA,"10","0",NA,"60","5",NA,NA,NA,1294.1
"33","JORN117",NA,19,NA,NA,"100",NA,NA,"95",NA,NA,NA,NA,1298
"34","JORN120",NA,14,1,NA,"20","50",NA,"85","50",NA,NA,NA,1291.1
"35","JORN123",NA,14,2,NA,"15","29",NA,"90","401",NA,NA,NA,1298.8
"36","JORN126",NA,14,2,NA,"40","10",NA,"70","5",NA,NA,NA,1296.5
"37","JORN129",NA,7,3,NA,"100","15",NA,"70","40",NA,NA,NA,1312.4
"38","JORN137",NA,20,NA,NA,"100",NA,NA,"95",NA,NA,NA,NA,1310.1
"39","JORN138",NA,16,NA,NA,"100",NA,NA,"70",NA,NA,NA,NA,1305.2
"40","JORN139",NA,7,NA,NA,"30",NA,NA,"85",NA,NA,NA,NA,1307.6
"41","JORN140",NA,24,NA,NA,"20",NA,NA,"90",NA,NA,NA,NA,1307
"42","JORN141",NA,9,1,NA,"50","5",NA,"90","5",NA,NA,NA,1314.1
"43","JORN144",NA,18,5,NA,"35","25",NA,"85","45",NA,NA,NA,1301.5
