"","Transect","ARTR_n","BOGR_n","NONE_n","JUOS_n","ARTR_min_height_cm","BOGR_min_height_cm","NONE_min_height_cm","JUOS_min_height_cm","ARTR_max_height_cm","BOGR_max_height_cm","NONE_max_height_cm","JUOS_max_height_cm","ARTR_mean_height_cm","BOGR_mean_height_cm","NONE_mean_height_cm","JUOS_mean_height_cm","mean_elev_m"
"1","MOAB006",2,7,25,NA,30,5,0,NA,55,30,0,NA,42,18,0,NA,1778.4
"2","MOAB010",NA,10,23,NA,NA,15,0,NA,NA,40,0,NA,NA,28,0,NA,1737
"3","MOAB012",NA,NA,34,5,NA,NA,0,450,NA,NA,0,450,NA,NA,0,450,1754.4
"4","MOAB013",NA,13,25,NA,NA,10,0,NA,NA,35,0,NA,NA,24,0,NA,1763.7
"5","MOAB014",NA,2,29,NA,NA,15,0,NA,NA,30,0,NA,NA,22,0,NA,1777.9
"6","MOAB020",5,NA,24,21,40,NA,0,200,125,NA,0,550,91,NA,0,390,1991.4
"7","MOAB023",2,2,21,2,45,40,0,360,70,45,0,360,58,42,0,360,1778.2
"8","MOAB029",5,NA,28,13,90,NA,0,100,140,NA,0,600,116,NA,0,442,1996.3
"9","MOAB030",NA,NA,28,8,NA,NA,0,140,NA,NA,0,425,NA,NA,0,309,1986.2
"10","MOAB035",NA,NA,33,6,NA,NA,0,170,NA,NA,0,240,NA,NA,0,217,1924.1
"11","MOAB038",NA,6,31,NA,NA,5,0,NA,NA,15,0,NA,NA,10,0,NA,1735.1
"12","MOAB042",6,5,30,1,35,15,0,65,65,25,0,65,50,20,0,65,1784.3
"13","MOAB045",3,6,23,NA,70,10,0,NA,95,20,0,NA,82,14,0,NA,1702.5
"14","MOAB048",13,NA,27,NA,35,NA,0,NA,170,NA,0,NA,105,NA,0,NA,1701.8
"15","MOAB050",NA,3,21,NA,NA,10,0,NA,NA,20,0,NA,NA,13,0,NA,1748.4
